name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
CEE 18 Women's Cotton Lightly-Padded and Non-Wired Maternity Nursing Bra|Womens Adjustable Shoulder Straps | Post Pregnanc...,toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91DUvf+UMpL._AC_UL320_.jpg,https://www.amazon.in/CEE-18-Breastfeeding-Maternity-Red-Black-Greyishblue/dp/B09H2RYYV6/ref=sr_1_9060?qid=1679219728&s=baby&sr=1-9060,4.0,1049,₹899,"₹2,599"
"Busy Kid Swing Seat for Kids, Age 3 to 10 Years with Hand Grip (Blue)",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Q25EJkWnL._AC_UL320_.jpg,https://www.amazon.in/Busy-Kid-Swing-Seat-Years/dp/B07NQ6T38C/ref=sr_1_9061?qid=1679219728&s=baby&sr=1-9061,4.0,318,₹700,₹760
HENAL Women's Rayon A-Line Maternity Feeding Kurti With Zipper (H319_Maroon Printed Maternity Kurta_Maroon),toys & baby products,Baby Products,https://m.media-amazon.com/images/I/81bCZS3ipoL._AC_UL320_.jpg,https://www.amazon.in/HENAL-Womens-Maternity-Feeding-Zipper/dp/B09B5V6Y43/ref=sr_1_9360?qid=1679219733&s=baby&sr=1-9360,3.9,223,₹699,"₹2,299"
