rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
85,"Rampur, India",116,113,95,111,116,109,97,89,108,98,122,149,180
86,"Fatehpur, India",115,165,122,101,114,111,91,55,70,61,112,195,179
87,"Kolkata, India",115,239,138,99,88,56,51,28,65,41,108,230,231
88,"Mumbai, India",115,212,192,141,98,74,77,46,54,56,148,120,160
89,"Thane, India",115,174,188,118,124,87,74,56,38,67,175,120,163
90,"Uluberiya, India",115,249,143,96,85,59,55,34,67,48,96,219,223
91,"Vrindavan, India",115,119,144,118,134,130,150,102,60,41,94,151,142
92,"Alwar, India",114,159,112,87,113,82,87,68,71,63,103,226,202
93,"Bankura, India",114,216,196,135,126,106,82,44,70,52,91,128,123
94,"Kalyan, India",114,187,180,142,116,83,61,71,44,59,149,115,155
95,"Kanpur, India",114,169,121,102,109,97,88,52,65,55,112,217,176
96,"Valsad, India",114,225,230,137,90,66,54,47,53,54,152,125,139
97,"Amritsar, India",113,182,128,83,88,83,69,54,64,61,97,218,231
98,"Bangaon, India",113,249,140,101,87,58,53,25,66,42,86,224,223
99,"Daman, India",113,223,225,134,88,67,56,47,53,53,146,124,138
100,"Jamuria, India",113,219,184,129,122,107,79,51,72,56,84,136,118
101,"Kulti, India",113,219,184,129,122,107,79,51,72,56,84,137,117
102,"Sirsa, India",113,148,125,89,92,96,100,72,69,73,85,243,165
103,"Amudalavalasa, India",112,166,127,113,93,83,96,59,85,64,114,142,200
104,"Anakapalle, India",112,166,127,113,93,83,97,59,85,64,114,141,200
105,"Durgapur, India",112,185,196,140,131,105,82,50,76,51,81,122,127
106,"Howrah, India",112,244,143,102,105,59,54,36,68,42,84,210,202
107,"Pali, India",112,125,113,90,98,102,98,126,109,80,89,155,154
108,"Sambhal, India",112,116,99,119,119,103,85,61,95,82,114,173,173
109,"Sitalpur, India",112,155,131,90,102,95,87,52,69,58,107,233,162
110,"Weinan, China",112,226,192,139,153,57,53,56,53,51,81,118,159
111,"Huanglongsi, China",111,206,157,160,164,71,67,50,51,62,108,113,123
112,"Shihezi, China",111,310,254,112,83,54,54,52,50,48,68,80,164
113,"Xibeijie, China",111,197,121,156,180,125,86,91,87,82,61,78,65
114,"Basirhat, India",111,245,136,98,85,56,51,25,64,41,84,223,223
115,"Dhanbad, India",111,189,167,130,129,120,81,68,85,70,49,118,124
116,"Moradabad, India",111,111,97,116,115,104,93,70,90,78,117,164,178
117,"Narasannapeta, India",111,165,127,112,92,82,96,59,84,64,113,140,192
118,"Ponduru, India",111,166,127,113,92,82,96,59,84,64,113,140,191
119,"Bhimunipatnam, India",110,166,128,113,93,83,97,59,85,64,114,137,181
120,"Chicacole, India",110,165,127,113,92,82,96,58,84,64,113,139,187
121,"Chipurupalle, India",110,165,126,112,92,82,95,58,84,63,113,140,189
122,"Gauripur, India",110,277,204,145,115,69,66,34,42,39,67,136,125
123,"Al Jahra, Kuwait",110,92,98,84,88,143,143,104,135,130,115,92,99
124,"Dzuunharaa, Mongolia",110,279,227,79,56,32,30,27,25,31,71,186,280
125,"Donghua, China",110,167,116,387,133,44,43,43,46,30,62,99,149
126,"Heze, China",110,204,142,160,143,66,68,47,52,63,113,119,144
127,"Tula, Russia",110,18,16,12,19,15,56,145,390,262,357,14,14
128,"Aligarh, India",109,141,111,96,104,105,121,88,71,59,97,167,150
129,"Bobbili, India",109,165,125,111,91,81,94,57,82,62,112,139,183
130,"Chikhli, India",109,200,214,129,85,64,55,46,51,54,146,127,132
